ID,카테고리,한국 트렌드 워드,직역(기준선),일본 매칭어 ★추천,읽기,표기유형,매칭유형,"우선
순위","IG 해시태그
(추정·건)","검색
노출도","거부감/
위화감","薬機法
리스크",薬機法 비고,브랜드 채택 예시,연관추천 키워드,뉘앙스/사용맥락
28,스킨케어/고민,모공레스,-,毛穴目立たない,-,혼합,C,2,240000,中,낮음,SAFE,효능 단정 회피형,-,毛穴ケア,규제 안전 표현
29,스킨케어/고민,모공축소,毛穴縮小,毛穴の引き締め,-,혼합,C,1,180000,中,중간,CAUTION,"'축소' 단정 주의, 引き締め로 완화",-,毛穴ケア,✗ 毛穴が消える류 금지
30,스킨케어/고민,블랙헤드,-,毛穴の黒ずみ,-,혼합,C,1,290000,中,낮음,SAFE,-,COSRX,"いちご鼻, 角質",-
31,스킨케어/고민,블랙헤드,-,いちご鼻,いちごばな,혼합,D,2,170000,中,낮음,SAFE,일본 고유어,-,毛穴の黒ずみ,코 모공 한정 비유
32,스킨케어/고민,각질,角質,角質,かくしつ,한자,A,1,410000,中,낮음,SAFE,-,COSRX,"ザラつき, ピーリング",-
33,스킨케어/고민,잡티,-,くすみ,-,히라가나,C,1,520000,高,낮음,SAFE,美白 단정과 분리,-,"シミ, トーンアップ",-
34,스킨케어/고민,잡티,-,シミ,-,카타카나,C,2,480000,高,중간,CAUTION,美白 효능과 결합 시 규제,-,"くすみ, 美白",의약부외품 외 효능 단정 NG
35,스킨케어/고민,칙칙함,-,くすみ,-,히라가나,C,1,520000,高,낮음,SAFE,-,-,"透明感, トーンアップ",-
36,스킨케어/고민,홍조,紅潮,赤み,あかみ,한자,C,1,160000,中,낮음,SAFE,-,Dr.G,"鎮静, 敏感肌",-
37,스킨케어/고민,다크서클,-,クマ,-,카타카나,C,1,210000,中,낮음,SAFE,-,-,目元ケア,-
38,스킨케어/고민,속건조,内側乾燥,インナードライ,-,카타카나,C,1,330000,高,낮음,SAFE,증상 표현,Torriden,"高保湿, うるおい",효능은 高保湿로 연결
39,스킨케어/고민,건조,乾燥,乾燥,かんそう,한자,A,1,1100000,高,낮음,SAFE,-,-,"保湿, うるおい",-
40,스킨케어/고민,주름,皺,小じわ,こじわ,한자,C,1,440000,中,중간,CAUTION,'乾燥による小じわを目立たなくする' 정형구만,BIOHEAL BOH,"エイジングケア, ハリ",✗ シワが消える 금지
41,스킨케어/고민,트러블,-,肌荒れ,はだあれ,한자,C,1,380000,中,낮음,SAFE,-,Dr.G,"ニキビ, 敏感肌",-
42,스킨케어/고민,여드름,-,ニキビ,-,카타카나,C,1,650000,高,중간,CAUTION,"화장품/의약부외품 구분, 治す NG",COSRX,"肌荒れ, ニキビ跡",-
43,스킨케어/고민,진정,鎮静,鎮静,ちんせい,한자,A,1,470000,中,낮음,SAFE,'肌を整える'와 병용,"Anua, Dr.G","CICA, 敏感肌",-
44,스킨케어/고민,민감성,敏感性,敏感肌,びんかんはだ,한자,A,1,720000,高,낮음,SAFE,-,Round Lab,"低刺激, 鎮静",-
45,스킨케어/고민,지성,脂性,脂性肌,しせいはだ,한자,A,1,290000,中,낮음,SAFE,-,-,"オイリー肌, テカリ",-
46,스킨케어/고민,복합성,複合性,混合肌,こんごうはだ,한자,C,1,260000,中,낮음,SAFE,-,-,"脂性肌, 乾燥肌",-
47,스킨케어/고민,번들거림,-,テカリ,-,카타카나,C,1,240000,中,낮음,SAFE,-,-,"皮脂, 崩れ防止",-
48,스킨케어/고민,피부장벽,皮膚障壁,肌バリア,-,혼합,C,1,310000,中,낮음,SAFE,-,"Round Lab, Dr.Jart","バリア機能, 敏感肌",-
49,스킨케어/효능,속보습,内側保湿,高保湿,こうほしつ,한자,C,1,640000,高,낮음,SAFE,-,"Torriden, Round Lab","うるおい, インナードライ",효능 키워드 표준
50,스킨케어/효능,보습,保湿,保湿,ほしつ,한자,A,1,1400000,高,낮음,SAFE,-,-,"高保湿, うるおい",-
51,스킨케어/효능,미백,美白,透明感ケア,-,혼합,C,1,210000,中,낮음,SAFE,화장품 안전 대체어,-,"くすみケア, トーンアップ",★ 美白 대신 권장
52,스킨케어/효능,미백,美白,美白,びはく,한자,A,2,880000,高,중간,CAUTION,의약부외품+승인 정형구만 허용,HERA,"シミ, そばかす",✗ 화장품 단독 사용 금지
53,스킨케어/효능,미백,-,ブライトニング,-,카타카나,B,3,190000,中,중간,CAUTION,"美白 동의 표현, 효능 단정 주의",-,"透明感, くすみ",-
54,스킨케어/효능,안티에이징,-,エイジングケア,-,카타카나,B,1,750000,高,낮음,CAUTION,'年齢に応じたケア'로 한정,BIOHEAL BOH,"ハリ, 小じわ",✗ 老化を防ぐ 금지
55,스킨케어/효능,리프팅,-,リフトケア,-,카타카나,C,1,170000,中,중간,CAUTION,'引き上げる' 단정 NG,BIOHEAL BOH,"ハリ, 弾力",-
56,스킨케어/효능,수분충전,水分充電,水分チャージ,-,혼합,C,1,220000,中,낮음,SAFE,-,TIRTIR,"うるおい, 保湿",-
57,스킨케어/효능,흡수,吸収,浸透,しんとう,한자,C,1,360000,中,중간,CAUTION,반드시 '角質層まで' 병기,-,"密着, うるおい",✗ 角質層 미표기 시 규제
58,스킨케어/효능,밀착,密着,密着,みっちゃく,한자,A,1,330000,中,낮음,SAFE,-,MEDIHEAL,"トナーパッド, シートマスク",-
59,스킨케어/효능,결정돈,-,キメを整える,-,혼합,C,1,280000,中,낮음,SAFE,-,-,"なめらか, 毛穴",-
60,스킨케어/효능,딥클렌징,-,ディープクレンジング,-,카타카나,B,1,150000,中,낮음,SAFE,-,-,"毛穴洗浄, 角質ケア",-
61,스킨케어/효능,각질제거,角質除去,ピーリング,-,카타카나,C,1,240000,中,낮음,SAFE,-,COSRX,"角質ケア, ザラつき",-
62,스킨케어/효능,지속력,持続力,色持ち,いろもち,한자,C,1,420000,中,낮음,SAFE,-,rom&nd,"崩れない, 長時間",메이크업 공통
63,성분,시카,-,CICA,-,카타카나,B,1,540000,高,낮음,SAFE,-,"Anua, Dr.G","鎮静, ツボクサ",외래어 정착
64,성분,센텔라/병풀,-,ツボクサ,-,카타카나,C,2,120000,中,낮음,SAFE,CICA의 성분명,SKIN1004,"CICA, 鎮静",성분 표기용
65,성분,히알루론산,-,ヒアルロン酸,-,혼합,A,1,980000,高,낮음,SAFE,-,-,"保湿, うるおい",-
66,성분,콜라겐,-,コラーゲン,-,카타카나,B,1,1100000,高,낮음,SAFE,'補う'까지만,VT,"ハリ, 弾力",✗ 体内コラーゲン増加 단정 NG
67,성분,나이아신아마이드,-,ナイアシンアミド,-,카타카나,B,1,360000,高,중간,CAUTION,"美白 유효성분, 정형구 필요",numbuzin,"美白, シワ改善",의약부외품 한정 효능
68,성분,레티놀,-,レチノール,-,카타카나,B,1,480000,高,중간,CAUTION,シワ改善은 의약부외품 한정,-,"エイジングケア, ハリ",-
69,성분,비타민C,-,ビタミンC,-,혼합,B,1,920000,高,낮음,SAFE,-,Goodal,"透明感, くすみ",-
70,성분,펩타이드,-,ペプチド,-,카타카나,B,1,340000,中,낮음,SAFE,-,BIOHEAL BOH,"ハリ, エイジングケア",-
71,성분,세라마이드,-,セラミド,-,카타카나,B,1,520000,高,낮음,SAFE,-,Dr.Jart,"バリア, 保湿",-
72,성분,PDRN,-,PDRN,-,영문,B,1,310000,高,중간,CAUTION,"효능 단정 주의, 화장품 범위 내","MEDIHEAL, Rejuran","ハリ, トナーパッド",최신 트렌드 성분
73,성분,엑소좀,-,エクソソーム,-,카타카나,B,1,180000,中,중간,CAUTION,효능 표현 신중,-,"ハリ, ツヤ",-
74,성분,어성초,魚腥草,ドクダミ,-,카타카나,C,1,260000,中,낮음,SAFE,-,Anua,"鎮静, 毛穴",Anua 대표 성분
75,성분,달팽이,-,カタツムリ,-,카타카나,C,1,210000,中,중간,SAFE,-,COSRX,"ムチン, 保湿",スネイル 병용
76,성분,마데카소사이드,-,マデカッソシド,-,카타카나,B,1,90000,低,낮음,SAFE,-,Dr.G,"CICA, 鎮静",-
77,성분,판테놀,-,パンテノール,-,카타카나,B,1,130000,中,낮음,SAFE,-,-,"保湿, 鎮静",-
78,성분,토너패드,-,トナーパッド,-,카타카나,B,1,470000,高,낮음,SAFE,-,"MEDIHEAL, Anua","ふきとり, 角質ケア",-
79,성분,앰플,-,アンプル,-,카타카나,B,1,290000,中,낮음,SAFE,-,-,"美容液, セラム",-
80,성분,세럼,-,美容液,びようえき,한자,C,1,1300000,高,낮음,SAFE,セラム보다 검색량 큼,Torriden,"アンプル, エッセンス",일본은 美容液가 주류 표기
81,성분,세럼,-,セラム,-,카타카나,B,2,240000,中,낮음,SAFE,-,-,美容液,제품명용
82,성분,에센스,-,エッセンス,-,카타카나,B,1,330000,中,낮음,SAFE,-,-,美容液,-
83,메이크업/베이스,쿠션,-,クッションファンデ,-,혼합,B,1,1600000,高,낮음,SAFE,-,"TIRTIR, CLIO","ツヤ, カバー力",핵심 카테고리
84,메이크업/베이스,광쿠션,-,グロウクッション,-,혼합,B,1,210000,中,낮음,SAFE,-,CLIO,"ツヤ肌, 水光",-
85,메이크업/베이스,광쿠션,-,ツヤクッション,-,혼합,C,2,180000,中,낮음,SAFE,-,TIRTIR,"水光肌, グロウ",-
86,메이크업/베이스,무광쿠션,-,マットクッション,-,혼합,B,1,95000,低,낮음,SAFE,-,-,"セミマット, 皮脂崩れ",-
87,메이크업/베이스,톤업크림,-,トーンアップクリーム,-,혼합,B,1,280000,中,낮음,SAFE,-,numbuzin,"トーンアップ, 化粧下地",-
88,메이크업/베이스,프라이머,-,化粧下地,けしょうしたじ,한자,C,1,640000,高,낮음,SAFE,プライマー보다 검색 큼,-,"プライマー, 毛穴カバー",일본은 化粧下地 주류
89,메이크업/베이스,파데,-,ファンデ,-,카타카나,B,1,1900000,高,낮음,SAFE,-,-,"カバー力, ツヤ肌",-
90,메이크업/베이스,컨실러,-,コンシーラー,-,카타카나,B,1,720000,高,낮음,SAFE,-,TIRTIR,"カバー力, クマ",-
91,메이크업/베이스,커버력,-,カバー力,カバーりょく,혼합,C,1,540000,高,낮음,SAFE,-,CLIO,"密着, シミ隠し",-
92,메이크업/베이스,무피지,無皮脂,皮脂崩れ防止,-,혼합,C,1,230000,中,낮음,SAFE,-,-,"テカリ, 崩れない",-
93,메이크업/베이스,물광메이크,水光メイク,水光メイク,すいこうメイク,혼합,A,1,340000,高,낮음,SAFE,-,TIRTIR,"ツヤ肌メイク, グロウ",-
94,메이크업/베이스,세미매트,-,セミマット,-,카타카나,B,1,160000,中,낮음,SAFE,-,-,"マット, 皮脂崩れ",-
95,메이크업/베이스,13시간지속,13時間持続,崩れない,くずれない,한자,C,1,380000,高,낮음,SAFE,구체 시간보다 '崩れない' 권장,CLIO,"長時間キープ, 色持ち",-
96,메이크업/포인트,틴트,-,ティント,-,카타카나,B,1,1100000,高,낮음,SAFE,-,rom&nd,"リップ, 色持ち",-
97,메이크업/포인트,물틴트,-,ウォーターティント,-,혼합,B,1,260000,中,낮음,SAFE,-,"rom&nd, fwee","ティント, ツヤ",-
98,메이크업/포인트,벨벳틴트,-,ベルベットティント,-,혼합,B,1,180000,中,낮음,SAFE,-,rom&nd,マットリップ,-
99,메이크업/포인트,글로우틴트,-,グロウティント,-,혼합,B,1,150000,中,낮음,SAFE,-,fwee,"ツヤリップ, グロウ",-
100,메이크업/포인트,블러셔,-,チーク,-,카타카나,C,1,820000,高,낮음,SAFE,-,rom&nd,"血色感, ツヤ",-
101,메이크업/포인트,음영,陰影,シェーディング,-,카타카나,B,1,290000,中,낮음,SAFE,-,CLIO,"小顔, ハイライト",-
102,메이크업/포인트,하이라이터,-,ハイライター,-,카타카나,B,1,310000,中,낮음,SAFE,-,hince,"ツヤ, つや玉",-
103,메이크업/포인트,발색,発色,発色,はっしょく,한자,A,1,440000,中,낮음,SAFE,-,rom&nd,"ティント, 色持ち",-
104,메이크업/포인트,데일리,-,普段使い,ふだんづかい,한자,C,1,360000,中,낮음,SAFE,デイリー보다 자연,-,"ナチュラル, デイリー",-
105,메이크업/포인트,누드톤,-,ヌーディーカラー,-,카타카나,B,1,170000,中,낮음,SAFE,-,rom&nd,"MLBB, ベージュ",-
106,메이크업/포인트,글리터,-,ラメ,-,카타카나,C,1,380000,中,낮음,SAFE,グリッター보다 자연,CLIO,"アイシャドウ, きらめき",-
107,메이크업/포인트,촉촉립,-,うるツヤリップ,-,혼합,C,1,120000,中,낮음,SAFE,-,-,"ツヤ, ティント",-
108,메이크업/포인트,번짐방지,滲み防止,落ちにくい,おちにくい,한자,C,1,290000,中,낮음,SAFE,-,rom&nd,"色持ち, にじみにくい",-
109,헤어/디바이스,헤어드라이어,-,ヘアドライヤー,-,카타카나,B,1,520000,高,낮음,SAFE,-,GlowU,"速乾, マイナスイオン",-
110,헤어/디바이스,고데기,-,ヘアアイロン,-,혼합,C,1,610000,高,낮음,SAFE,コテ 병용,GlowU,"巻き髪, カール",-
111,헤어/디바이스,매직기,-,ストレートアイロン,-,혼합,C,1,330000,中,낮음,SAFE,-,GlowU,"ストレート, ツヤ髪",-
112,헤어/디바이스,컬링,-,巻き髪,まきがみ,한자,C,1,470000,中,낮음,SAFE,-,GlowU,"カール, ヘアアイロン",-
113,헤어/디바이스,손상모,損傷毛,ダメージヘア,-,혼합,C,1,280000,中,낮음,SAFE,-,-,"ヘアケア, 補修",-
114,헤어/디바이스,윤기머릿결,-,ツヤ髪,つやがみ,한자,C,1,240000,中,낮음,SAFE,-,GlowU,"ヘアケア, うるおい",-
115,헤어/디바이스,두피케어,頭皮ケア,スカルプケア,-,카타카나,C,1,190000,中,낮음,SAFE,頭皮ケア 병용,-,"ボリューム, 頭皮",-
116,헤어/디바이스,마이너스이온,-,マイナスイオン,-,혼합,B,1,210000,中,낮음,SAFE,-,GlowU,"速乾, ツヤ髪",-
117,헤어/디바이스,속건조(헤어),-,速乾,そっかん,한자,C,1,150000,中,낮음,SAFE,피부 속건조와 구분,GlowU,ヘアドライヤー,빠르게 마름 뉘앙스
118,헤어/디바이스,헤어에센스,-,ヘアオイル,-,혼합,C,1,330000,中,낮음,SAFE,-,-,"ツヤ髪, 補修",-
119,바디/향,바디로션,-,ボディローション,-,카타카나,B,1,290000,中,낮음,SAFE,-,-,"保湿, うるおい",-
120,바디/향,핸드크림,-,ハンドクリーム,-,카타카나,B,1,420000,中,낮음,SAFE,-,-,"保湿, 香り",-
121,바디/향,향수,香水,フレグランス,-,카타카나,C,1,560000,高,낮음,SAFE,香水 병용,-,"香り, ほのか",-
122,바디/향,은은한향,-,ほのかな香り,-,혼합,C,1,180000,中,낮음,SAFE,-,-,フレグランス,-
123,펨케어/이너,이너뷰티,-,インナービューティー,-,카타카나,B,1,310000,中,낮음,CAUTION,효능 단정 주의,iHEAL,"インナーケア, 美容",-
124,펨케어/이너,여성청결제,女性清潔剤,デリケートゾーンケア,-,혼합,D,1,160000,中,낮음,SAFE,'洗浄/治療' 효능 단정 금지,iHEAL,"フェムケア, 弱酸性",★ iHEAL 표준 표기
125,펨케어/이너,여성청결제,女性清潔剤,フェムケア,-,카타카나,B,2,150000,中,낮음,SAFE,상위 카테고리어,iHEAL,"デリケートゾーン, フェムテック",-
126,펨케어/이너,여성청결제,膣洗浄,膣ケア,ちつケア,혼합,D,3,28000,低,높음,CAUTION,직접적 표현 → 거부감·규제 리스크,-,デリケートゾーン,"✗ 직역형, 사용 지양"
127,펨케어/이너,질건강,膣健康,デリケートゾーンケア,-,혼합,D,1,160000,中,낮음,CAUTION,효능 단정 금지,iHEAL,"弱酸性, 低刺激",-
128,펨케어/이너,펨케어,-,フェムケア,-,카타카나,B,1,150000,中,낮음,SAFE,2020년 이후 정착,iHEAL,"フェムテック, デリケートゾーン",-
129,펨케어/이너,펨테크,-,フェムテック,-,카타카나,B,1,140000,中,낮음,SAFE,-,iHEAL,フェムケア,-
130,펨케어/이너,약산성,弱酸性,弱酸性,じゃくさんせい,한자,A,1,380000,中,낮음,SAFE,-,"iHEAL, Round Lab","低刺激, 敏感肌",-
131,펨케어/이너,저자극,低刺激,低刺激,ていしげき,한자,A,1,440000,中,낮음,SAFE,-,"iHEAL, Round Lab","敏感肌, 弱酸性",-
132,펨케어/이너,유산균,乳酸菌,乳酸菌,にゅうさんきん,한자,A,1,680000,高,낮음,CAUTION,식품/화장품 범위별 효능 제한,iHEAL,"プロバイオティクス, 腸活",-
133,펨케어/이너,프로바이오틱스,-,プロバイオティクス,-,카타카나,B,1,220000,中,낮음,CAUTION,-,iHEAL,"乳酸菌, 腸活",-
134,펨케어/이너,이너케어,-,内側からケア,-,혼합,D,1,130000,中,낮음,CAUTION,효능 단정 금지,iHEAL,"インナーケア, 体の中から",-
135,펨케어/이너,디톡스,-,デトックス,-,카타카나,B,1,260000,中,중간,CAUTION,의료적 효능 표현 주의,-,"スッキリ, 巡り",-
136,펨케어/이너,장건강,腸健康,腸活,ちょうかつ,한자,D,1,490000,中,낮음,CAUTION,식품 표현 한정,iHEAL,"乳酸菌, 食物繊維",일본 정착어
137,펨케어/이너,여성호르몬,女性ホルモン,女性のリズム,-,혼합,D,1,85000,低,낮음,CAUTION,호르몬 직접 효능 표현 금지,iHEAL,"ゆらぎ, コンディション",우회 표현 필수
138,펨케어/이너,면역,免疫,免疫,めんえき,한자,A,1,540000,中,중간,CAUTION,식품/화장품 효능 단정 금지,-,"健康, サポート",✗ 免疫力アップ 단정 NG
139,다이어트/프로틴,다이어트,-,ダイエット,-,카타카나,B,1,2100000,高,낮음,CAUTION,'痩せる' 단정 금지,Mileat,"低カロリー, 置き換え",-
140,다이어트/프로틴,프로틴,-,プロテイン,-,카타카나,B,1,1800000,高,낮음,SAFE,-,Mileat,"タンパク質, 植物性",-
141,다이어트/프로틴,식물성단백질,植物性蛋白質,植物性タンパク質,-,혼합,C,1,310000,中,낮음,SAFE,-,Mileat,"プロテイン, ヴィーガン",Mileat 리포지셔닝 핵심
142,다이어트/프로틴,단백질보충,蛋白質補充,タンパク質補給,-,혼합,C,1,240000,中,낮음,SAFE,-,Mileat,"プロテイン, 運動前後",-
143,다이어트/프로틴,포만감,飽満感,腹持ち,はらもち,한자,D,1,290000,中,낮음,SAFE,満足感 병용,Mileat,"置き換え, 低カロリー",-
144,다이어트/프로틴,저칼로리,低カロリー,低カロリー,ていカロリー,혼합,A,1,820000,高,낮음,SAFE,-,Mileat,"ダイエット, ヘルシー",-
145,다이어트/프로틴,제로슈가,-,砂糖不使用,さとうふしよう,한자,C,1,330000,中,낮음,CAUTION,'シュガーレス' 표기 규정 준수,Mileat,"低カロリー, ヘルシー",-
146,다이어트/프로틴,식이섬유,食物繊維,食物繊維,しょくもつせんい,한자,A,1,470000,中,낮음,SAFE,-,Mileat,"腸活, ヘルシー",-
147,다이어트/프로틴,데일리프로틴,-,デイリープロテイン,-,혼합,B,1,90000,低,낮음,SAFE,-,Mileat,"プロテイン, 健康習慣",Mileat 슬로건 직결
148,다이어트/프로틴,식사대용,食事代用,置き換え,おきかえ,한자,D,1,520000,高,중간,CAUTION,영양 균형 표현 주의,Mileat,"ダイエット, 腹持ち",일본 정착어
149,다이어트/프로틴,건강루틴,健康ルーティン,健康習慣,けんこうしゅうかん,한자,C,1,210000,中,낮음,SAFE,-,Mileat,"デイリールーティン, 習慣",Mileat 'daily protein routine'
150,다이어트/프로틴,무첨가,無添加,無添加,むてんか,한자,A,1,640000,高,중간,CAUTION,무엇이 무첨가인지 명시 필요,Mileat,"ヘルシー, 安心",✗ 막연한 無添加 표기 주의
151,다이어트/프로틴,비건,-,ヴィーガン,-,카타카나,B,1,560000,高,낮음,SAFE,ビーガン 병용,Mileat,"植物性, プラントベース",-
152,다이어트/프로틴,글루텐프리,-,グルテンフリー,-,카타카나,B,1,290000,中,낮음,SAFE,-,Mileat,"ヘルシー, 無添加",-
153,다이어트/프로틴,단백질바,蛋白質バー,プロテインバー,-,혼합,B,1,410000,中,낮음,SAFE,-,Mileat,"プロテイン, おやつ",-
154,다이어트/프로틴,셰이크,-,シェイク,-,카타카나,B,1,330000,中,낮음,SAFE,-,Mileat,"プロテイン, 置き換え",-
155,커머스,메가할인,メガ割引,メガ割,メガわり,혼합,D,1,1300000,高,낮음,SAFE,Qoo10 고유 핵심어,-,"Qoo10, クーポン",★ Qoo10 진출 필수어
156,커머스,한정,限定,限定,げんてい,한자,A,1,2200000,高,낮음,SAFE,-,-,"新作, 数量限定",-
157,커머스,신상,新商品,新作,しんさく,한자,C,1,1400000,高,낮음,SAFE,-,-,"新商品, 限定",-
158,커머스,품절대란,品切れ大乱,完売,かんばい,한자,C,1,380000,中,낮음,SAFE,売り切れ続出 병용,-,"人気, 再入荷",-
159,커머스,베스트셀러,-,人気No.1,にんきナンバーワン,혼합,C,1,720000,高,중간,CAUTION,No.1은 근거·기간 명시 필요,-,"ベストセラー, ランキング",✗ 근거 없는 No.1 표기 규제
160,커머스,랭킹1위,ランキング1位,ランキング1位,ランキングいちい,혼합,A,1,640000,高,중간,CAUTION,집계 출처·기간 명시 필요,-,"オリヤン1位, 人気",와사비텐 연계 핵심
161,커머스,입소문,口コミ,口コミ,くちコミ,한자,C,1,1900000,高,낮음,SAFE,-,-,"レビュー, 話題",-
162,커머스,가성비,-,コスパ,-,카타카나,D,1,980000,高,낮음,SAFE,-,-,"プチプラ, お得",-
163,커머스,필수템,必須アイテム,マストバイ,-,카타카나,D,1,260000,中,낮음,SAFE,-,-,"必需品, デイリー",-
164,커머스,선물용,-,ギフト,-,카타카나,C,1,840000,高,낮음,SAFE,プレゼント 병용,-,"プレゼント, ラッピング",LINE GIFT 연계
165,커머스,정품,正品,正規品,せいきひん,한자,C,1,520000,中,낮음,SAFE,-,-,"公式, 安心",-
166,커머스,재구매,再購買,リピート,-,카타카나,D,1,440000,中,낮음,SAFE,リピ買い 병용,-,"口コミ, 愛用",-
167,커머스,올영1위,オリヤン1位,オリーブヤング1位,-,혼합,D,1,290000,中,낮음,CAUTION,집계 기간 명시 필요,-,"ランキング, 韓国コスメ",オリヤン=올리브영
168,커머스,대용량,大容量,大容量,だいようりょう,한자,A,1,360000,中,낮음,SAFE,-,-,"コスパ, お得",-
169,커머스,미니사이즈,-,お試しサイズ,おためしサイズ,혼합,C,1,180000,中,낮음,SAFE,ミニサイズ 병용,-,"トライアル, セット",-
170,커머스,세트,セット,セット,-,카타카나,B,1,920000,高,낮음,SAFE,-,-,"ギフト, お得",-
171,커머스,공식,公式,公式,こうしき,한자,A,1,1100000,高,낮음,SAFE,-,-,"正規品, 安心",-
172,스킨케어/촉감,속당김,-,つっぱり感,-,혼합,C,1,140000,中,낮음,SAFE,-,-,"乾燥, 保湿",'乾燥でつっぱる' 맥락
173,스킨케어/촉감,피부결,-,キメ,-,카타카나,C,1,360000,中,낮음,SAFE,-,-,"なめらか, 整える",-
